#Frame          phi:2        psi:2
     734     -81.9291     120.2383
     735    -153.7546      57.9325
     736    -122.9129      39.2500
     737     -55.4291     -53.3211
     738     -68.5169     139.9478
     739    -104.3463      55.5196
     740     -53.8708     -22.5287
     741     -56.5119     -46.2540
     742     -80.3052     127.0493
     743     -69.3012     -18.5640
     744     -73.3555     166.7614
     745     -65.5286     149.8982
     746    -161.3630     163.4314
     747     -80.6297     135.1145
     748     -80.0956      -6.5697
     749      42.6912      58.4835
     750      47.0245      59.2390
     751     -88.5655    -165.5942
     752     -65.9088     138.0382
     753     -50.2812     153.1280
     754    -162.9439     104.5772
     755      64.8678      26.2415
     756      57.1383      30.3706
     757      74.5623      17.0414
     758      52.2743      51.0408
     759      60.8960      41.1223
     760      46.0913      48.4946
     761      56.9628      24.5828
     762      44.8899    -150.3412
     763      37.9671      54.0084
     764      56.8252      41.1164
     765      59.1997      46.4999
     766      77.6876      32.0277
     767      68.4391      28.9106
     768      56.9505      50.9144
     769      83.1071      18.0459
     770      56.1257      18.9768
     771     -72.5493     150.7533
     772     -51.4633     126.9605
     773     -54.3253     118.4809
     774     -58.9643     153.0308
     775     -59.2049     142.8149
     776     -70.4043     127.2909
     777    -137.0936     152.7115
     778    -136.3706      18.7925
     779     -67.1470     -20.6350
     780     -62.9009     139.2267
     781     -93.6260     -18.0779
     782     -81.5875     123.9902
     783    -108.8642      21.7538
     784    -114.9122     160.6129
     785     -59.9515     161.1519
     786     -59.6201     167.3747
     787     -60.2584     -18.9491
     788     -37.5964     127.2862
     789    -134.7714     114.2750
     790    -104.7507      95.8835
     791     -53.9021     150.2967
     792     -56.6849     162.1583
     793     -76.9816     161.7433
     794     -86.2664     101.4224
     795     -75.7327     138.9772
     796    -156.8326    -167.7038
     797    -150.3089     150.0776
     798     -65.2271     112.3292
     799     -68.8253     125.9946
     800     -59.5052     -48.3437
     801     -63.8693     138.4430
     802     -53.5761     156.4393
     803     -97.5958      35.2407
     804     -39.2918     138.7080
     805     -53.4765     140.5260
     806     -77.3145     164.2790
     807     -71.3024     132.8153
     808     -98.9485      96.1212
     809     -64.2530     147.1912
     810     -85.2918     138.5822
     811     -74.0520     149.2311
     812     -76.9454     140.1747
     813     -64.3373     142.4850
     814     -56.9297     -30.4351
     815    -158.6228     139.0405
     816     -72.1403     139.5626
     817     -50.6509     145.0381
     818     -56.3482     -34.4256
     819     -73.3341     -28.5707
     820     -64.0731     -15.8949
     821    -171.2955     122.7165
     822    -168.3464     111.5702
     823     -58.0669     166.2502
     824     -63.6460     133.5370
     825     -72.7934     163.5052
     826     -57.2086     164.2807
     827     -69.4360     123.8227
     828     -58.8648     153.7364
     829     -49.0384     143.6216
     830     -63.1352     -22.8928
     831    -102.9908      57.0140
     832    -100.1465     140.9600
     833     -75.9018     137.2200
     834     -88.0239     134.1176
     835     -70.2841     -59.0350
     836     -68.2306     127.3471
     837     -72.3920     120.7608
     838    -144.7439     164.5043
     839    -124.7423     143.9930
     840     -58.5512     142.4217
     841     -83.0831     128.7142
     842     -59.6825     141.9166
     843     -67.6511     139.8080
     844     -54.1980     -50.9674
     845     -68.8223      63.1616
     846     -65.9165     150.0972
     847     173.9672     155.4784
     848     -82.2990     134.4219
     849     -57.7895     116.0185
     850     -62.1950     131.5401
     851     -83.8160     120.2054
     852     -91.7656     155.8321
     853     -59.9370     -27.2171
     854     -56.9900     136.1330
     855     -54.9859     -26.0385
     856     -80.8109     -40.7249
     857     -58.6401     -40.0692
     858     -61.9254     133.6849
     859     -74.8999     157.0918
     860     -70.6983      99.5295
     861     -62.3329     -36.1161
     862     -77.4958     126.4353
     863     -96.7367     171.6905
     864     -48.9379     135.4833
     865     -92.6038      15.6766
     866     -49.5483     155.5757
     867    -169.9984     161.3835
     868    -121.7668     149.5484
     869     -58.2144     130.7978
     870     -46.6916     149.2608
     871     -45.3226     146.4271
     872    -142.4935     134.0609
     873     -58.8860     154.6522
     874     -55.0894     -26.1827
     875     -39.8261     133.9135
     876     -68.4984     141.0450
     877     -93.0405     -12.9537
     878     -62.1385     154.3120
     879     -55.4922     139.9475
     880    -170.7137     119.4914
     881     -56.4248     140.4805
     882     -78.6172     158.1734
